Report Number	Offense ID	Offense Start DateTime	Offense End DateTime	Report DateTime	Group A B	Crime Against Category	Offense Parent Group	Offense	Offense Code	Precinct	Sector	Beat	MCPP	100 Block Address	Longitude	Latitude
2020-044620	12605873663	02/05/2020 10:10:00 AM		02/05/2020 11:24:31 AM	A	SOCIETY	DRUG/NARCOTIC OFFENSES	Drug/Narcotic Violations	35A	W	Q	Q1	MAGNOLIA	32XX BLOCK OF 23RD AVE W	-122.3859737	47.64938723
2020-044452	12605598696	02/03/2020 08:00:00 AM	02/04/2020 08:00:00 AM	02/05/2020 10:06:28 AM	A	PROPERTY	LARCENY-THEFT	Theft of Motor Vehicle Parts or Accessories	23G	N	J	J3	ROOSEVELT/RAVENNA	63XX BLOCK OF 5TH AVE NE	-122.3233991	47.67511789
2020-044465	12605567653	02/02/2020 08:30:00 PM	02/02/2020 09:30:00 PM	02/05/2020 09:39:33 AM	A	PROPERTY	ROBBERY	Robbery	120	N	U	U3	ROOSEVELT/RAVENNA	26TH AVE NE / NE BLAKELEY ST	-122.2995522	47.66638407
2020-044225	12605174036	02/05/2020 01:17:00 AM	02/05/2020 02:21:00 AM	02/05/2020 03:30:55 AM	A	PROPERTY	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	Destruction/Damage/Vandalism of Property	290	W	Q	Q1	MAGNOLIA	22XX BLOCK OF W RAYE ST	-122.3848648	47.64292734
2020-044076	12605081469	02/05/2020 12:51:21 AM		02/05/2020 12:51:31 AM	B	SOCIETY	DRIVING UNDER THE INFLUENCE	Driving Under the Influence	90D	N	B	B2	BALLARD SOUTH	NW 46TH ST / 8TH AVE NW	-122.3661953	47.66219308
2020-044142	12605077150	02/04/2020 10:59:00 PM		02/05/2020 12:45:08 AM	A	PROPERTY	LARCENY-THEFT	Shoplifting	23C	W	M	M1	DOWNTOWN COMMERCIAL	14XX BLOCK OF 2ND AVE	-122.3384495	47.60878866
2020-044104	12605029468	02/04/2020 08:30:00 PM	02/04/2020 08:45:00 PM	02/04/2020 11:31:52 PM	A	PROPERTY	DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY	Destruction/Damage/Vandalism of Property	290	N	J	J3	PHINNEY RIDGE	71XX BLOCK OF GREENWOOD AVE N	-122.3553091	47.68052695
2020-043988	12604995759	02/04/2020 07:58:00 PM		02/04/2020 10:46:19 PM	A	PROPERTY	LARCENY-THEFT	Shoplifting	23C	SW	F	F2	ROXHILL/WESTWOOD/ARBOR HEIGHTS	26XX BLOCK OF SW BARTON ST	-122.367312	47.52102758
2020-043928	12604963106	02/04/2020 07:01:00 PM		02/04/2020 09:59:07 PM	B	SOCIETY	DRIVING UNDER THE INFLUENCE	Driving Under the Influence	90D	N	L	L2	NORTHGATE	15TH AVE NE / NE 95TH ST	-122.3120778	47.69761617
2020-044065	12605008517	02/04/2020 09:00:00 PM	02/04/2020 09:15:00 PM	02/04/2020 09:47:32 PM	A	PROPERTY	LARCENY-THEFT	Theft From Motor Vehicle	23F	E	E	E2	CAPITOL HILL	15XX BLOCK OF 12TH AVE	-122.316845	47.61468385
